referrer,views_total,views_unique
github.com,367,63
mflowcode.github.io,260,55
Bing,158,23
Google,148,41
moodle.u-bordeaux.fr,45,2
arxiv.org,25,2
chatgpt.com,23,8
sciencedirect.com,4,1
DuckDuckGo,3,2
colonius.caltech.edu,2,2
