time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-25 00:00:00+00:00,12,6,138,26
2025-08-26 00:00:00+00:00,61,7,218,24
2025-08-27 00:00:00+00:00,26,6,58,24
2025-08-28 00:00:00+00:00,17,9,109,19
2025-08-29 00:00:00+00:00,7,3,52,13
2025-08-30 00:00:00+00:00,2,1,43,14
2025-08-31 00:00:00+00:00,170,8,70,11
2025-09-01 00:00:00+00:00,161,9,296,30
2025-09-02 00:00:00+00:00,138,10,176,25
2025-09-03 00:00:00+00:00,157,14,153,30
2025-09-04 00:00:00+00:00,78,6,59,21
2025-09-05 00:00:00+00:00,10,5,176,40
2025-09-06 00:00:00+00:00,30,1,83,17
2025-09-07 00:00:00+00:00,46,6,120,13
