referrer,views_total,views_unique
github.com,263,56
Google,102,32
Bing,85,13
mflowcode.github.io,78,25
t.co,6,5
DuckDuckGo,6,1
Baidu,4,2
statics.teams.cdn.office.net,4,1
fortranwiki.org,3,2
sciencedirect.com,3,2
