referrer,views_total,views_unique
github.com,815,27
mflowcode.github.io,243,26
Google,32,12
comp-physics.group,19,6
DuckDuckGo,9,3
statics.teams.cdn.office.net,7,1
Bing,5,3
cn.bing.com,4,1
hgpu.org,1,1
yandex.ru,1,1
