time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-08 00:00:00+00:00,194.0,1.0,144,13
2024-08-09 00:00:00+00:00,34.0,2.0,117,15
2024-08-10 00:00:00+00:00,40.0,3.0,189,11
2024-08-11 00:00:00+00:00,22.0,4.0,68,13
2024-08-12 00:00:00+00:00,182.0,2.0,367,31
2024-08-13 00:00:00+00:00,152.0,4.0,350,20
2024-08-14 00:00:00+00:00,104.0,3.0,176,19
2024-08-15 00:00:00+00:00,,,121,19
2024-08-16 00:00:00+00:00,18.0,2.0,390,17
2024-08-17 00:00:00+00:00,53.0,3.0,223,17
2024-08-18 00:00:00+00:00,16.0,1.0,239,11
2024-08-19 00:00:00+00:00,34.0,1.0,254,17
2024-08-20 00:00:00+00:00,102.0,3.0,264,22
2024-08-21 00:00:00+00:00,138.0,3.0,178,17
