time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-28 00:00:00+00:00,59,3,174,33
2025-03-29 00:00:00+00:00,117,3,167,25
2025-03-30 00:00:00+00:00,37,8,59,20
2025-03-31 00:00:00+00:00,130,6,252,34
2025-04-01 00:00:00+00:00,267,5,473,31
2025-04-02 00:00:00+00:00,311,3,290,27
2025-04-03 00:00:00+00:00,672,9,310,26
2025-04-04 00:00:00+00:00,635,2,356,22
2025-04-05 00:00:00+00:00,187,10,195,30
2025-04-06 00:00:00+00:00,55,4,201,16
2025-04-07 00:00:00+00:00,130,5,176,22
2025-04-08 00:00:00+00:00,30,3,131,26
2025-04-09 00:00:00+00:00,99,8,131,30
2025-04-10 00:00:00+00:00,53,5,51,16
