time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-04 00:00:00+00:00,135,2,219,24
2024-11-05 00:00:00+00:00,472,2,530,34
2024-11-06 00:00:00+00:00,445,4,514,25
2024-11-07 00:00:00+00:00,519,3,650,24
2024-11-08 00:00:00+00:00,478,3,576,27
2024-11-09 00:00:00+00:00,293,2,422,26
2024-11-10 00:00:00+00:00,236,2,191,18
2024-11-11 00:00:00+00:00,210,3,574,45
2024-11-12 00:00:00+00:00,325,3,449,30
2024-11-13 00:00:00+00:00,322,2,480,28
2024-11-14 00:00:00+00:00,360,2,522,27
2024-11-15 00:00:00+00:00,204,1,338,17
2024-11-16 00:00:00+00:00,60,2,184,18
2024-11-17 00:00:00+00:00,94,2,170,11
