time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,1262,52,284,41
2026-06-25 00:00:00+00:00,1311,77,194,34
2026-06-26 00:00:00+00:00,436,35,149,46
2026-06-27 00:00:00+00:00,302,22,119,23
2026-06-28 00:00:00+00:00,103,28,107,21
2026-06-29 00:00:00+00:00,153,38,201,55
2026-06-30 00:00:00+00:00,340,16,236,49
2026-07-01 00:00:00+00:00,302,17,171,49
2026-07-02 00:00:00+00:00,730,32,260,51
2026-07-03 00:00:00+00:00,631,20,205,50
2026-07-04 00:00:00+00:00,1464,51,203,18
2026-07-05 00:00:00+00:00,1769,28,165,33
2026-07-06 00:00:00+00:00,1785,32,243,42
2026-07-07 00:00:00+00:00,232,25,153,43
