time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-10 00:00:00+00:00,544,57,103,11
2025-08-11 00:00:00+00:00,257,12,280,33
2025-08-12 00:00:00+00:00,145,7,160,30
2025-08-13 00:00:00+00:00,26,3,144,20
2025-08-14 00:00:00+00:00,117,5,176,23
2025-08-15 00:00:00+00:00,60,8,73,19
2025-08-16 00:00:00+00:00,8,5,65,13
2025-08-17 00:00:00+00:00,54,7,95,18
2025-08-18 00:00:00+00:00,203,7,147,20
2025-08-19 00:00:00+00:00,45,8,105,15
2025-08-20 00:00:00+00:00,69,6,54,15
2025-08-21 00:00:00+00:00,34,6,135,22
2025-08-22 00:00:00+00:00,92,7,191,20
2025-08-23 00:00:00+00:00,8,2,124,26
