referrer,views_total,views_unique
github.com,301,64
mflowcode.github.io,170,45
Bing,123,21
Google,115,44
moodle.u-bordeaux.fr,45,2
arxiv.org,17,1
chatgpt.com,12,6
sciencedirect.com,5,2
colonius.caltech.edu,3,3
DuckDuckGo,3,2
