time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,1664,31,180,50
2026-02-28 00:00:00+00:00,1946,94,139,34
2026-03-01 00:00:00+00:00,1497,28,122,22
2026-03-02 00:00:00+00:00,1088,17,181,35
2026-03-03 00:00:00+00:00,1209,25,113,30
2026-03-04 00:00:00+00:00,738,13,105,25
2026-03-05 00:00:00+00:00,708,16,79,26
2026-03-06 00:00:00+00:00,1130,17,152,26
2026-03-07 00:00:00+00:00,364,7,93,25
2026-03-08 00:00:00+00:00,1102,21,84,26
2026-03-09 00:00:00+00:00,1019,38,269,56
2026-03-10 00:00:00+00:00,1120,40,109,36
2026-03-11 00:00:00+00:00,774,20,133,36
2026-03-12 00:00:00+00:00,977,35,206,36
