time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,277,27,56,27
2026-06-07 00:00:00+00:00,125,36,33,14
2026-06-08 00:00:00+00:00,175,23,190,32
2026-06-09 00:00:00+00:00,697,22,277,33
2026-06-10 00:00:00+00:00,1899,75,283,47
2026-06-11 00:00:00+00:00,1809,33,308,39
2026-06-12 00:00:00+00:00,1536,70,399,34
2026-06-13 00:00:00+00:00,1076,53,224,46
2026-06-14 00:00:00+00:00,764,63,224,20
2026-06-15 00:00:00+00:00,1694,78,334,28
2026-06-16 00:00:00+00:00,1498,55,322,25
2026-06-17 00:00:00+00:00,448,32,185,38
2026-06-18 00:00:00+00:00,748,53,262,85
2026-06-19 00:00:00+00:00,435,42,127,31
