referrer,views_total,views_unique
github.com,667,159
Google,346,54
mflowcode.github.io,202,47
Bing,124,19
chatgpt.com,35,14
fortran-lang.discourse.group,5,1
search.brave.com,5,1
colonius.caltech.edu,2,1
fortranwiki.org,2,1
DuckDuckGo,1,1
