time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,306,101,55,20
2026-04-20 00:00:00+00:00,494,36,206,28
2026-04-21 00:00:00+00:00,412,56,217,58
2026-04-22 00:00:00+00:00,585,24,180,58
2026-04-23 00:00:00+00:00,482,33,163,27
2026-04-24 00:00:00+00:00,905,57,234,36
2026-04-25 00:00:00+00:00,349,45,58,16
2026-04-26 00:00:00+00:00,242,13,114,53
2026-04-27 00:00:00+00:00,303,30,90,34
2026-04-28 00:00:00+00:00,679,45,85,27
2026-04-29 00:00:00+00:00,989,89,126,40
2026-04-30 00:00:00+00:00,662,35,122,36
2026-05-01 00:00:00+00:00,711,38,136,33
2026-05-02 00:00:00+00:00,414,41,119,24
