time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,107,37,160,29
2025-10-16 00:00:00+00:00,230,10,249,37
2025-10-17 00:00:00+00:00,139,14,223,35
2025-10-18 00:00:00+00:00,63,10,78,21
2025-10-19 00:00:00+00:00,60,10,60,21
2025-10-20 00:00:00+00:00,123,16,171,33
2025-10-21 00:00:00+00:00,150,25,203,40
2025-10-22 00:00:00+00:00,45,19,244,37
2025-10-23 00:00:00+00:00,66,18,242,40
2025-10-24 00:00:00+00:00,103,26,252,35
2025-10-25 00:00:00+00:00,24,17,126,13
2025-10-26 00:00:00+00:00,31,14,50,22
2025-10-27 00:00:00+00:00,127,14,332,44
2025-10-28 00:00:00+00:00,30,22,112,29
