time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,119,2,355,20
2024-09-14 00:00:00+00:00,1,1,125,14
2024-09-15 00:00:00+00:00,57,1,149,13
2024-09-16 00:00:00+00:00,106,4,325,28
2024-09-17 00:00:00+00:00,48,4,406,21
2024-09-18 00:00:00+00:00,23,1,288,31
2024-09-19 00:00:00+00:00,45,2,521,33
2024-09-20 00:00:00+00:00,74,1,309,24
2024-09-21 00:00:00+00:00,19,1,474,22
2024-09-22 00:00:00+00:00,21,1,203,20
2024-09-23 00:00:00+00:00,98,4,476,32
2024-09-24 00:00:00+00:00,49,1,462,33
2024-09-25 00:00:00+00:00,66,1,603,29
2024-09-26 00:00:00+00:00,10,1,204,33
