time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,80,1,359,24
2024-07-31 00:00:00+00:00,115,3,351,17
2024-08-01 00:00:00+00:00,141,2,643,25
2024-08-02 00:00:00+00:00,180,4,335,18
2024-08-03 00:00:00+00:00,201,4,176,9
2024-08-04 00:00:00+00:00,118,3,83,12
2024-08-05 00:00:00+00:00,46,4,187,15
2024-08-06 00:00:00+00:00,20,3,57,15
2024-08-07 00:00:00+00:00,196,4,422,16
2024-08-08 00:00:00+00:00,194,1,144,13
2024-08-09 00:00:00+00:00,34,2,117,15
2024-08-10 00:00:00+00:00,40,3,189,11
2024-08-11 00:00:00+00:00,22,4,68,13
2024-08-12 00:00:00+00:00,152,1,341,30
