time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-19 00:00:00+00:00,20,4,155,37
2025-03-20 00:00:00+00:00,123,2,191,30
2025-03-21 00:00:00+00:00,21,5,113,29
2025-03-22 00:00:00+00:00,3,3,55,16
2025-03-23 00:00:00+00:00,46,7,60,13
2025-03-24 00:00:00+00:00,24,2,93,25
2025-03-25 00:00:00+00:00,11,3,108,25
2025-03-26 00:00:00+00:00,6,3,62,19
2025-03-27 00:00:00+00:00,68,3,201,22
2025-03-28 00:00:00+00:00,59,3,174,33
2025-03-29 00:00:00+00:00,117,3,167,25
2025-03-30 00:00:00+00:00,37,8,59,20
2025-03-31 00:00:00+00:00,130,6,252,34
2025-04-01 00:00:00+00:00,117,4,429,29
