time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,46,7,60,13
2025-03-24 00:00:00+00:00,24,2,93,25
2025-03-25 00:00:00+00:00,11,3,108,25
2025-03-26 00:00:00+00:00,6,3,62,19
2025-03-27 00:00:00+00:00,68,3,201,22
2025-03-28 00:00:00+00:00,59,3,174,33
2025-03-29 00:00:00+00:00,117,3,167,25
2025-03-30 00:00:00+00:00,37,8,59,20
2025-03-31 00:00:00+00:00,130,6,252,34
2025-04-01 00:00:00+00:00,267,5,473,31
2025-04-02 00:00:00+00:00,311,3,290,27
2025-04-03 00:00:00+00:00,672,9,310,26
2025-04-04 00:00:00+00:00,635,2,356,22
2025-04-05 00:00:00+00:00,186,9,188,25
