time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-06 00:00:00+00:00,81.0,3.0,183,13
2024-07-07 00:00:00+00:00,,,77,10
2024-07-08 00:00:00+00:00,33.0,1.0,177,18
2024-07-09 00:00:00+00:00,97.0,2.0,231,23
2024-07-10 00:00:00+00:00,163.0,3.0,217,23
2024-07-11 00:00:00+00:00,86.0,1.0,269,22
2024-07-12 00:00:00+00:00,57.0,4.0,357,18
2024-07-13 00:00:00+00:00,20.0,1.0,149,10
2024-07-14 00:00:00+00:00,17.0,2.0,98,4
2024-07-15 00:00:00+00:00,2.0,2.0,79,15
2024-07-16 00:00:00+00:00,53.0,3.0,104,14
2024-07-17 00:00:00+00:00,125.0,2.0,389,17
2024-07-18 00:00:00+00:00,92.0,4.0,337,16
2024-07-19 00:00:00+00:00,48.0,1.0,146,14
