referrer,views_total,views_unique
github.com,740,68
mflowcode.github.io,138,45
Google,131,42
Bing,59,10
search.brave.com,33,2
chatgpt.com,12,5
sciencedirect.com,5,2
cigmo.github.io,5,1
DuckDuckGo,4,2
linfu.people.ust.hk,4,2
