time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-29 00:00:00+00:00,297,3,143,12
2024-12-30 00:00:00+00:00,3,1,42,11
2024-12-31 00:00:00+00:00,2,2,29,9
2025-01-01 00:00:00+00:00,235,3,143,8
2025-01-02 00:00:00+00:00,81,3,95,14
2025-01-03 00:00:00+00:00,32,5,113,18
2025-01-04 00:00:00+00:00,17,3,71,13
2025-01-05 00:00:00+00:00,43,2,85,19
2025-01-06 00:00:00+00:00,6,2,42,15
2025-01-07 00:00:00+00:00,4,2,32,16
2025-01-08 00:00:00+00:00,20,3,17,5
2025-01-09 00:00:00+00:00,71,5,136,21
2025-01-10 00:00:00+00:00,56,4,90,14
2025-01-11 00:00:00+00:00,55,2,62,11
