referrer,views_total,views_unique
github.com,1261,45
mflowcode.github.io,339,44
Google,170,10
researchgate.net,35,1
Bing,25,2
comp-physics.group,13,2
linkedin.com,8,2
exmail.qq.com,5,1
DuckDuckGo,4,2
pdf.sciencedirectassets.com,1,1
