time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-25 00:00:00+00:00,74,7,89,18
2025-05-26 00:00:00+00:00,154,8,146,15
2025-05-27 00:00:00+00:00,206,11,207,27
2025-05-28 00:00:00+00:00,249,7,260,18
2025-05-29 00:00:00+00:00,410,12,368,17
2025-05-30 00:00:00+00:00,304,8,303,25
2025-05-31 00:00:00+00:00,109,7,261,15
2025-06-01 00:00:00+00:00,47,4,182,22
2025-06-02 00:00:00+00:00,391,12,401,30
2025-06-03 00:00:00+00:00,101,14,251,32
2025-06-04 00:00:00+00:00,209,19,375,26
2025-06-05 00:00:00+00:00,304,11,301,23
2025-06-06 00:00:00+00:00,374,12,268,21
2025-06-07 00:00:00+00:00,325,13,217,15
