referrer,views_total,views_unique
github.com,273,23
mflowcode.github.io,104,30
Google,76,27
Bing,9,7
comp-physics.group,6,6
cn.bing.com,5,5
DuckDuckGo,2,2
m.sogou.com,1,1
yandex.ru,1,1
