time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-23 00:00:00+00:00,2895,49,230,32
2026-02-24 00:00:00+00:00,3500,71,236,38
2026-02-25 00:00:00+00:00,1851,45,231,37
2026-02-26 00:00:00+00:00,2257,38,235,38
2026-02-27 00:00:00+00:00,1664,31,180,50
2026-02-28 00:00:00+00:00,1946,94,139,34
2026-03-01 00:00:00+00:00,1497,28,122,22
2026-03-02 00:00:00+00:00,1088,17,181,35
2026-03-03 00:00:00+00:00,1209,25,113,30
2026-03-04 00:00:00+00:00,738,13,105,25
2026-03-05 00:00:00+00:00,708,16,79,26
2026-03-06 00:00:00+00:00,1130,17,152,26
2026-03-07 00:00:00+00:00,364,7,93,25
2026-03-08 00:00:00+00:00,1102,21,84,26
