time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-28 00:00:00+00:00,341,10,267,14
2025-06-29 00:00:00+00:00,329,10,258,17
2025-06-30 00:00:00+00:00,121,9,460,24
2025-07-01 00:00:00+00:00,398,17,287,27
2025-07-02 00:00:00+00:00,209,12,280,31
2025-07-03 00:00:00+00:00,545,23,190,19
2025-07-04 00:00:00+00:00,107,6,138,24
2025-07-05 00:00:00+00:00,20,4,48,10
2025-07-06 00:00:00+00:00,83,4,58,10
2025-07-07 00:00:00+00:00,121,16,241,26
2025-07-08 00:00:00+00:00,443,17,415,24
2025-07-09 00:00:00+00:00,129,7,363,28
2025-07-10 00:00:00+00:00,153,14,387,26
2025-07-11 00:00:00+00:00,667,38,524,27
