time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-07 00:00:00+00:00,8,4,56,19
2025-12-08 00:00:00+00:00,975,22,154,35
2025-12-09 00:00:00+00:00,866,12,99,17
2025-12-10 00:00:00+00:00,849,13,144,22
2025-12-11 00:00:00+00:00,186,27,227,21
2025-12-12 00:00:00+00:00,1357,16,382,25
2025-12-13 00:00:00+00:00,717,82,280,20
2025-12-14 00:00:00+00:00,318,48,81,11
2025-12-15 00:00:00+00:00,1613,49,547,35
2025-12-16 00:00:00+00:00,710,27,591,22
2025-12-17 00:00:00+00:00,310,9,133,17
2025-12-18 00:00:00+00:00,596,10,276,28
2025-12-19 00:00:00+00:00,2748,47,246,31
2025-12-20 00:00:00+00:00,503,38,107,16
