time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,360,2,522,27
2024-11-15 00:00:00+00:00,204,1,338,17
2024-11-16 00:00:00+00:00,60,2,184,18
2024-11-17 00:00:00+00:00,94,2,176,11
2024-11-18 00:00:00+00:00,406,1,428,11
2024-11-19 00:00:00+00:00,381,2,352,20
2024-11-20 00:00:00+00:00,115,1,418,21
2024-11-21 00:00:00+00:00,101,1,192,23
2024-11-22 00:00:00+00:00,115,1,172,22
2024-11-23 00:00:00+00:00,111,1,133,10
2024-11-24 00:00:00+00:00,326,1,194,15
2024-11-25 00:00:00+00:00,398,4,503,26
2024-11-26 00:00:00+00:00,781,1,529,16
2024-11-27 00:00:00+00:00,252,2,261,19
