time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-21 00:00:00+00:00,196,3,187,18
2024-08-22 00:00:00+00:00,177,3,317,20
2024-08-23 00:00:00+00:00,190,4,362,23
2024-08-24 00:00:00+00:00,33,2,60,11
2024-08-25 00:00:00+00:00,138,2,141,12
2024-08-26 00:00:00+00:00,51,1,107,14
2024-08-27 00:00:00+00:00,117,4,82,13
2024-08-28 00:00:00+00:00,38,1,222,17
2024-08-29 00:00:00+00:00,76,2,171,24
2024-08-30 00:00:00+00:00,130,2,272,23
2024-08-31 00:00:00+00:00,131,3,150,15
2024-09-01 00:00:00+00:00,75,4,351,17
2024-09-02 00:00:00+00:00,3,2,216,22
2024-09-03 00:00:00+00:00,114,2,652,16
