time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,89,21,130,31
2025-10-31 00:00:00+00:00,116,24,106,23
2025-11-01 00:00:00+00:00,155,17,169,39
2025-11-02 00:00:00+00:00,22,9,55,13
2025-11-03 00:00:00+00:00,52,23,162,29
2025-11-04 00:00:00+00:00,1109,9,135,26
2025-11-05 00:00:00+00:00,905,16,172,36
2025-11-06 00:00:00+00:00,521,24,222,30
2025-11-07 00:00:00+00:00,417,9,211,25
2025-11-08 00:00:00+00:00,326,8,64,19
2025-11-09 00:00:00+00:00,248,16,150,20
2025-11-10 00:00:00+00:00,412,20,407,30
2025-11-11 00:00:00+00:00,208,10,388,37
2025-11-12 00:00:00+00:00,603,41,308,27
