time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-10 00:00:00+00:00,159,4,436,19
2024-05-11 00:00:00+00:00,28,8,155,11
2024-05-12 00:00:00+00:00,41,4,223,12
2024-05-13 00:00:00+00:00,220,5,1053,28
2024-05-14 00:00:00+00:00,121,9,570,24
2024-05-15 00:00:00+00:00,126,4,258,17
2024-05-16 00:00:00+00:00,167,7,420,26
2024-05-17 00:00:00+00:00,160,4,425,20
2024-05-18 00:00:00+00:00,55,3,182,10
2024-05-19 00:00:00+00:00,99,5,234,7
2024-05-20 00:00:00+00:00,144,4,372,17
2024-05-21 00:00:00+00:00,96,5,396,19
2024-05-22 00:00:00+00:00,144,4,398,26
2024-05-23 00:00:00+00:00,69,2,316,19
