time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-29 00:00:00+00:00,46,3,264,24
2024-10-30 00:00:00+00:00,66,1,166,23
2024-10-31 00:00:00+00:00,157,2,244,27
2024-11-01 00:00:00+00:00,186,2,234,22
2024-11-02 00:00:00+00:00,222,6,143,17
2024-11-03 00:00:00+00:00,83,1,89,29
2024-11-04 00:00:00+00:00,135,2,219,24
2024-11-05 00:00:00+00:00,472,2,530,34
2024-11-06 00:00:00+00:00,445,4,514,25
2024-11-07 00:00:00+00:00,519,3,650,24
2024-11-08 00:00:00+00:00,478,3,576,27
2024-11-09 00:00:00+00:00,293,2,422,26
2024-11-10 00:00:00+00:00,236,2,191,18
2024-11-11 00:00:00+00:00,188,3,560,45
