time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,250,8,94,46
2026-03-29 00:00:00+00:00,616,5,105,46
2026-03-30 00:00:00+00:00,1001,16,151,40
2026-03-31 00:00:00+00:00,1878,32,226,54
2026-04-01 00:00:00+00:00,2602,98,326,78
2026-04-02 00:00:00+00:00,1361,46,274,62
2026-04-03 00:00:00+00:00,478,50,313,60
2026-04-04 00:00:00+00:00,679,34,166,67
2026-04-05 00:00:00+00:00,530,31,70,38
2026-04-06 00:00:00+00:00,880,17,150,40
2026-04-07 00:00:00+00:00,310,20,406,66
2026-04-08 00:00:00+00:00,268,27,166,52
2026-04-09 00:00:00+00:00,786,36,553,55
2026-04-10 00:00:00+00:00,1344,80,173,47
