time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,975,77,75,23
2026-05-16 00:00:00+00:00,408,27,97,26
2026-05-17 00:00:00+00:00,239,20,54,19
2026-05-18 00:00:00+00:00,1151,86,140,32
2026-05-19 00:00:00+00:00,1038,74,157,24
2026-05-20 00:00:00+00:00,663,63,109,25
2026-05-21 00:00:00+00:00,92,29,121,29
2026-05-22 00:00:00+00:00,100,37,91,27
2026-05-23 00:00:00+00:00,81,37,44,16
2026-05-24 00:00:00+00:00,63,27,71,16
2026-05-25 00:00:00+00:00,276,43,95,22
2026-05-26 00:00:00+00:00,244,32,144,24
2026-05-27 00:00:00+00:00,170,29,161,36
2026-05-28 00:00:00+00:00,1055,71,116,27
