time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-01 00:00:00+00:00,28,3,82,11
2024-06-02 00:00:00+00:00,105,2,55,8
2024-06-03 00:00:00+00:00,89,7,321,14
2024-06-04 00:00:00+00:00,21,4,138,13
2024-06-05 00:00:00+00:00,53,6,394,22
2024-06-06 00:00:00+00:00,29,3,130,11
2024-06-07 00:00:00+00:00,67,4,308,17
2024-06-08 00:00:00+00:00,21,3,91,9
2024-06-09 00:00:00+00:00,100,4,105,9
2024-06-10 00:00:00+00:00,28,7,217,14
2024-06-11 00:00:00+00:00,3,2,175,16
2024-06-12 00:00:00+00:00,22,5,144,18
2024-06-13 00:00:00+00:00,41,3,155,16
2024-06-14 00:00:00+00:00,42,4,144,11
2024-06-15 00:00:00+00:00,1,1,19,6
2024-06-16 00:00:00+00:00,15,1,55,9
2024-06-17 00:00:00+00:00,2,2,100,16
2024-06-18 00:00:00+00:00,55,6,83,10
2024-06-19 00:00:00+00:00,64,9,121,16
2024-06-20 00:00:00+00:00,76,5,190,17
2024-06-21 00:00:00+00:00,8,2,257,22
2024-06-22 00:00:00+00:00,46,2,132,12
2024-06-23 00:00:00+00:00,105,3,86,10
2024-06-24 00:00:00+00:00,87,2,253,14
2024-06-25 00:00:00+00:00,20,2,184,17
2024-06-26 00:00:00+00:00,1,1,147,15
2024-06-27 00:00:00+00:00,1,1,186,18
2024-06-28 00:00:00+00:00,78,3,234,19
2024-06-29 00:00:00+00:00,16,2,49,4
2024-06-30 00:00:00+00:00,15,1,48,10
2024-07-01 00:00:00+00:00,99,2,429,22
2024-07-02 00:00:00+00:00,139,3,373,16
